id,subject,body,email_content,intent,customer_name,product,requested_action
1,Trouble connecting my new headphones,"Hi Support,
I bought the SonicBoom Wireless Headphones last Tuesday, and I’m having a really hard time keeping them connected to my phone. They pair fine initially, but after about 10 minutes, the audio cuts out completely. I’ve tried resetting them and forgetting the device on my iPhone, but the issue persists. Can someone help me troubleshoot this? I need them for my commute.
Best regards,
Jason Miller","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",troubleshoot connectivity,Jason Miller,SonicBoom Wireless Headphones,troubleshoot
2,Error code 404 during setup,"Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",installation_error,Sarah Jenkins,Vector Graphics Suite 2024,troubleshoot installation
3,Watch battery draining too fast,"To whom it may concern,
I’ve noticed that my Apex Smartwatch Gen 5 is barely lasting half a day on a full charge. The advertising said it should last 48 hours. I’m not even using the GPS features, just basic notifications. Is my unit defective or is there a setting I need to change?
Sincerely,
Amit Patel","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",battery performance issue,Amit Patel,Apex Smartwatch Gen 5,investigate battery issue
4,Coffee machine making strange noises,"Hi there,
My BaristaPro Espresso Maker started making a really loud grinding noise this morning when I tried to pull a shot. Water is coming out, but the pressure gauge isn’t moving. I’ve only had this machine for three months. Is this something I can fix myself or do I need a technician?
Elena Rodriguez","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",technical support,Elena Rodriguez,BaristaPro Espresso Maker,technician
5,Hub not finding devices,"Good morning,
I recently upgraded my router, and now my HomeGuard Security Hub refuses to reconnect to the Wi-Fi. I’ve held the reset button for 10 seconds as per the manual, but the light stays red. I can't view any of my cameras right now. Please assist.
Michael Chang","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",connectivity issue,Michael Chang,HomeGuard Security Hub,assist
6,Display issues on new laptop,"Hi Team,
I received my Titan Gaming Laptop X15 yesterday. While the performance is great, I’m noticing a distinct flicker on the bottom left of the screen when the brightness is set to high. It’s very distracting during gameplay. I’ve updated the drivers, but it hasn't helped.
Jessica Bloom","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",display issue,Jessica Bloom,Titan Gaming Laptop X15,repair
7,Broken screen in shipment,"Hello,
I am extremely disappointed. I just opened the box for the UltraView 4K Monitor I ordered, and the screen is completely shattered. The shipping box looked crushed on one corner. I need a replacement sent out immediately or a full refund. I have attached photos of the damage.
David Thorne","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",damage,David Thorne,UltraView 4K Monitor,replacement or full refund
8,You sent the wrong color,"Hi,
I ordered the Velvet Armchair in Navy Blue (Order #9982), but what arrived today is clearly Forest Green. It clashes with my living room decor. I’d like to return this and get the correct color sent to me. Please send a return label.
Priya Singh","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",wrong color,Priya Singh,Velvet Armchair,return and send correct color
9,Returning the vacuum,"Hi Customer Service,
I would like to request a refund for the Cyclone Stick Vacuum. I’ve used it twice, and honestly, the suction power is just not strong enough for my carpets. It’s not damaged, but it’s not working for my needs. How do I go about sending this back?
Tom Hansen","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",refund,Tom Hansen,Cyclone Stick Vacuum,refund
10,Cancel and refund please,"Hello,
My son accidentally purchased the Galactic Raiders Game on my account without my permission. We have not downloaded or played it yet. Can you please reverse this transaction and refund the $59.99 to my card?
Thank you,
Linda Wei","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",refund,Linda Wei,Galactic Raiders Game,refund
11,Boots falling apart,"Hi,
I bought a pair of TrailBlazer Hiking Boots three weeks ago. After just one hike, the sole is already peeling off the left boot. I expect much better quality for this price. I want my money back, I don't want an exchange.
Marcus Johnson","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",refund,Marcus Johnson,TrailBlazer Hiking Boots,refund
12,Arrived too late,"To the support team,
I ordered the PartyBox Bluetooth Speaker for a birthday party happening last weekend. It just arrived today, which is three days late. I ended up buying one locally. I no longer need this item. Please process a refund.
Chloe Evans","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",refund,Chloe Evans,PartyBox Bluetooth Speaker,refund
13,Charged twice for the same order,"Hi,
I was checking my credit card statement and noticed two pending charges of $49.99 for my subscription to MealPlan Plus. I only authorized one month. Please refund the duplicate charge immediately and confirm that my auto-renew is actually off.
Robert Downey","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",refund,Robert Downey,MealPlan Plus,refund
14,Locked out of my account,"Hello,
I am trying to log in to manage my CloudDrive Storage settings, but it says my account is locked. I tried the ""forgot password"" link, but I never received the email. Can someone please help me regain access? I have important files I need to get to.
Fatima Al-Fayed","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",,,,
15,Stop my subscription,"Hi,
Please cancel my subscription to FitLife Pro effective immediately. I am not using the app enough to justify the monthly cost. I want to make sure I am not charged for next month (December).
Greg Norman","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",cancel subscription,Greg Norman,FitLife Pro,cancel subscription
16,Need receipt for tax purposes,"Good afternoon,
Could you please send me a PDF invoice for the purchase of the ErgoOffice Desk Chair? I bought it last week, but I can't find the receipt in my email. I need it to submit an expense report to my company.
Samantha Lee","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",request receipt,Samantha Lee,ErgoOffice Desk Chair,send PDF invoice
17,Update shipping address,"Hi,
I just placed an order for the InstaPot Duo about an hour ago. I realized I accidentally used my old apartment address. Can you please update the shipping address to 123 Maple Street? I hope it hasn't shipped yet.
Kevin O'Connor","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",address change,Kevin O'Connor,InstaPot Duo,update shipping address
18,Upgrading to the family plan,"Hello Team,
I currently have the individual plan for StreamMusic Unlimited. I want to upgrade to the Family Plan so my kids can use it too. How do I do this without losing my current playlists?
Angela Rossi","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",plan upgrade,Angela Rossi,StreamMusic Unlimited,upgrade to Family Plan
19,Tracking says delivered but no package,"Hi,
I have a problem. The tracking number for my SilentNight Humidifier says it was delivered yesterday at 2:00 PM. I was home all day and nobody rang the doorbell, and there is nothing on my porch. Can you help me locate my order?
Peter Parker","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",delivery issue,Peter Parker,SilentNight Humidifier,locate order
20,Missing items from my order,"Hello,
I received my package today. The Yoga Mat is inside, but the set of Resistance Bands that I ordered in the same transaction is missing. The packing slip lists both items. Are the bands coming in a separate box?
Lara Croft","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",missing items,Lara Croft,Resistance Bands,send missing item
21,When will it ship?,"Hi,
I pre-ordered the NextGen Console two months ago. The website said it would ship by the 15th, but my status still says ""Processing."" Can you give me an update on when this is actually going to be sent out?
Bruce Wayne","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",shipping status inquiry,Bruce Wayne,NextGen Console,provide shipping update
22,Will this work with my Mac?,"Hi,
I am looking at buying the External SSD 2TB you have on sale. The description mentions Windows, but doesn't explicitly say it works with macOS Monterey. Can you confirm if this is compatible before I buy it?
Steve Rogers","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",compatibility inquiry,Steve Rogers,External SSD 2TB,confirm compatibility with macOS Monterey
23,Discount didn't apply,"Hello,
I just bought the Winter Down Jacket and tried to use the code WELCOME20. The system said the code was valid, but the final price on my receipt doesn't show the 20% discount. Can you adjust the price for me?
Natasha Romanoff","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",discount not applied,Natasha Romanoff,Winter Down Jacket,adjust the price to apply the 20% discount
24,Feature request for the app,"Hi Team,
I love using the TaskMaster Project Tool, but I really wish there was a dark mode for the mobile app. The white background is too bright when working late at night. Are there plans to add this?
Tony Stark","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",feature request,Tony Stark,TaskMaster Project Tool,add dark mode
25,Motor stopped working,"To Support,
My HydroClean Power Washer just died in the middle of washing my driveway. I bought it 11 months ago, so it should still be under the 1-year warranty. How do I initiate a warranty claim for a repair or replacement?
Thor Odinson","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",warranty claim,Thor Odinson,HydroClean Power Washer,initiate a warranty claim for a repair or replacement
26,I have two accounts,"Hi,
I realized I have two accounts for ReaderDigest Online, one under my personal email and one under my work email. Is it possible to merge them so all my saved articles are in one place?
Diana Prince","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",account merge,Diana Prince,ReaderDigest Online,merge accounts
27,Lost the remote,"Hello,
We moved recently and I seem to have lost the remote control for my VisionX 55"" Smart TV. Do you sell replacement remotes separately? I can't find one on your website.
Clark Kent","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",replacement,Clark Kent,"VisionX 55"" Smart TV",replacement
28,Unauthorized transaction,"Urgent,
I just got a notification that my card was used to buy a Gift Card on your site. I did not make this purchase! Please cancel this immediately and refund my card.
Wanda Maximoff","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",unauthorized transaction,Wanda Maximoff,Gift Card,cancel and refund
29,adding installation to order,"Hi,
I ordered the HeavyDuty Washing Machine yesterday. I forgot to select the ""Professional Installation"" add-on. Is it too late to add that service to my order? I don't think I can install it myself.
Bucky Barnes","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",add installation service,Bucky Barnes,HeavyDuty Washing Machine,add professional installation
30,Sparking plug,"URGENT:
I plugged in my HeatWave Space Heater for the first time and saw a visible spark at the wall outlet and smelled burning plastic. I unplugged it immediately. This seems dangerous. How do I return this safely?
Clint Barton","Subject: Error code 404 during setup 
 Body:Hello,
I am trying to install the Vector Graphics Suite 2024 on my Windows 11 machine, but the installation keeps crashing at 85%. It gives me an ""Error Code 404 - Missing Library"" message. I have already checked my system specs and I definitely have enough RAM. Please let me know how to fix this so I can get back to work.
Thanks,
Sarah Jenkins",safety concern,Clint Barton,HeatWave Space Heater,return
